class, subclass, source, intuition, cite, title, authors, venue, year, doi, selected projects, notes
"INCOMPATIBLE", "", "", "??", "Mondal:2019:MSR", "Can Issues Reported at Stack Overflow Questions be Reproduced? An Exploratory Study", "Saikat Mondal and Masud Rahman and Chanchal K. Roy", "MSR", "2019", "10.1109/MSR.2019.00074", , "stack overflow questions"
"FILTER ", "first 500, age, commits, collaborators", "DOECODE, JOSS, GitHub", "??", "Milewicz:2019:MSR", "Characterizing the Roles of Contributors in Open-source Scientific Software Projects", "Reed Milewicz and Gustavo Pinto and Paige Rodeghero ", "MSR", "2019", "10.1109/MSR.2019.00069", 7, "7 projects
Search by topic: computational-neuroscience, bioinformatics, get first 500 projects
links to a contributor list
1+ year old, 500+ commits, 3+ collaborators (incl 1 junior)
Looking for representativ projects"
"STARS", "TOP", "organization", "??", "Perez:2019:MSR", "Cross-language clone detection by learning over abstract syntax trees", "Daniel Perez and Shigeru Chiba", "MSR", "2019", "10.1109/MSR.2019.00078", 1924, "1027 Java projects from Apache SF 
897 Python fromjects form GH: 100KB-100MB. Non-viral license. Not forks. Ordered by stars. Not Python2.
Diverse code to  genrate representative vocabulary. Stars as proxy for popularity."
"TOOL", "", "", "??", "Kolovos:2019:MSR", "Crossflow: A Framework for Distributed Mining of Software Repositories", "Dimitris Kolovos and Patrick Neubauer and Konstantinos Barmpis and Nicholas Matragkas and Richard Paige", "MSR", "2019", "10.1109/MSR.2019.00032", , "tool"
"EVERYTHING", "", "website", "??", "Scalabrino:2019:MSR", "Data-Driven Solutions to Detect API Compatibility Issues in Android: An Empirical Study", "Simone Scalabrino and Gabriele Bavota and Mario Linares-Vasquez and Michele Lanza and Rocco Oliveto", "MSR", "2019", "10.1109/MSR.2019.00055", 1170, "1170 projects from F-Droid website"
"CURATED", "", "", "??", "Hoang:2019:MSR", "DeepJIT: An End-To-End Deep LearningFramework for Just-In-Time Defect Prediction", "Thong Hoang and Hoa Khanh Dam and Yasutaka Kamei and David Lo and Naoyasu Ubayashi", "MSR", "2019", "10.1109/MSR.2019.00016", , "2 well-known projects"
"INCOMPATIBLE", "", "", "??", "Dietrich:2019:MSR", "Dependency Versioning in the Wild", "Jens Dietrich and David J. Pearce and Jacob Stringer and Amjed Tahir and Kelly Blincoe", "MSR", "2019", "10.1109/MSR.2019.00061", , "dependencies in package manager"
"DOMAIN", "", "GHTorrent", "??", "Raghuraman:2019:MSR", "Does UML Modeling Associate with Lower Defect Proneness?: A Preliminary Empirical Investigation", "Adithya Raghuraman and Truong Ho-Quang and Michel Chaudron and Alexander Serebrenik and Bogdan Vasilescu", "MSR", "2019", "10.1109/MSR.2019.00024", 4650, "4,650 projects containing UML files from GHTorrent"
"PROPRIETARY", "", "", "??", "Kiehn:2019:MSR", "Empirical study in using version histories for change risk classification", "Max Kiehn and Xiangyi Pan and Fatih Camci", "MSR", "2019", "10.1109/MSR.2019.00018", , ""
"INCOMPATIBLE", "", "", "??", "Chatterjee:2019:MSR", "Exploratory Study of Slack Q&A Chats as a Mining Source for Software Engineering Tools", "Preetha Chatterjee and Kostadin Damevski and Lori Pollock and Vinay Augustine and Nicholas A. Kraft", "MSR", "2019", "10.1109/MSR.2019.00075", , "slack conversations"
